	lemma	pos	abs_freq	rel_freq
237	UNKNOWN	VVINF	37	0.00033519654294592466
238	Freitag	NN	37	0.00033519654294592466
239	Person	NN	37	0.00033519654294592466
240	Monat	NN	37	0.00033519654294592466
241	setzen	VVFIN	37	0.00033519654294592466
242	Saison	NN	36	0.0003261371769203591
243	Russland	NE	36	0.0003261371769203591
244	solche	PIAT	36	0.0003261371769203591
245	Montag	NN	36	0.0003261371769203591
246	Fc	NN	36	0.0003261371769203591
247	geben	VVINF	35	0.00031707781089479356
248	Fall	NN	35	0.00031707781089479356
249	Problem	NN	35	0.00031707781089479356
250	China	NE	35	0.00031707781089479356
251	derzeit	ADV	35	0.00031707781089479356
252	aktuell	ADJD	35	0.00031707781089479356
253	Ukraine	NE	35	0.00031707781089479356
254	Minute	NN	35	0.00031707781089479356
255	mein	PPOSAT	35	0.00031707781089479356
256	Thema	NN	35	0.00031707781089479356
257	Juni	NN	35	0.00031707781089479356
258	Familie	NN	34	0.00030801844486922806
259	ki	NE	34	0.00030801844486922806
260	teil	PTKVZ	34	0.00030801844486922806
261	Konzert	NN	34	0.00030801844486922806
262	fast	ADV	34	0.00030801844486922806
263	berichten	VVFIN	34	0.00030801844486922806
264	Region	NN	34	0.00030801844486922806
265	trotz	APPR	34	0.00030801844486922806
266	Partei	NN	33	0.0002989590788436625
267	wenige	PIAT	33	0.0002989590788436625
268	tagen	VVINF	33	0.0002989590788436625
269	Fußball	NN	33	0.0002989590788436625
270	möglich	ADJD	33	0.0002989590788436625
271	tag	NE	33	0.0002989590788436625
272	'	$(	33	0.0002989590788436625
273	beginnen	VVFIN	32	0.000289899712818097
274	nichts	PIS	32	0.000289899712818097
275	wohl	ADV	32	0.000289899712818097
276	stark	ADJA	32	0.000289899712818097
277	stark	ADJD	32	0.000289899712818097
278	Team	FM	32	0.000289899712818097
279	erhalten	VVINF	32	0.000289899712818097
280	steigen	VVFIN	32	0.000289899712818097
281	sicher	ADJD	32	0.000289899712818097
282	wenig	PIAT	32	0.000289899712818097
283	Bürgermeister	NN	32	0.000289899712818097
284	Vorjahr	NN	32	0.000289899712818097
285	Ort	NN	31	0.00028084034679253146
286	wo	PWAV	31	0.00028084034679253146
287	sorgen	VVFIN	31	0.00028084034679253146
288	Blick	NN	31	0.00028084034679253146
289	wirklich	ADJD	31	0.00028084034679253146
290	deutlich	ADJD	31	0.00028084034679253146
291	wer	PWS	31	0.00028084034679253146
292	Mittwoch	NN	31	0.00028084034679253146
293	spielen	VVIMP	31	0.00028084034679253146
294	Situation	NN	31	0.00028084034679253146
295	suchen	VVFIN	31	0.00028084034679253146
296	zudem	ADV	31	0.00028084034679253146
297	teilen	VVFIN	31	0.00028084034679253146
298	fragen	VVFIN	31	0.00028084034679253146
299	Berlin	NE	31	0.00028084034679253146
300	Stunde	NN	31	0.00028084034679253146
301	April	NN	30	0.0002717809807669659
302	Fan	NN	30	0.0002717809807669659
303	Mitglied	NN	30	0.0002717809807669659
304	grün	ADJA	30	0.0002717809807669659
305	davon	PROAV	30	0.0002717809807669659
306	welche	PRELS	30	0.0002717809807669659
307	Gemeinde	NN	30	0.0002717809807669659
308	angeben	VVFIN	30	0.0002717809807669659
309	Feuerwehr	NN	30	0.0002717809807669659
310	Bereich	NN	30	0.0002717809807669659
311	Biden	NE	30	0.0002717809807669659
312	hoch	ADJD	30	0.0002717809807669659
313	Frau	NN	30	0.0002717809807669659
314	kommend	ADJA	29	0.0002627216147414004
315	Entscheidung	NN	29	0.0002627216147414004
316	zusammen	PTKVZ	29	0.0002627216147414004
