	lemma	pos	abs_freq	rel_freq
243	zwar	ADV	151	0.00030638373853090014
244	Freitag	NN	150	0.00030435470714990076
245	spät	ADJD	149	0.00030232567576890144
246	grün	ADJA	148	0.0003002966443879021
247	neben	APPR	148	0.0003002966443879021
248	gegenüber	APPR	147	0.0002982676130069028
249	wo	PWAV	146	0.0002962385816259034
250	UNKNOWN	VVPP	146	0.0002962385816259034
251	möglich	ADJD	146	0.0002962385816259034
252	oft	ADV	146	0.0002962385816259034
253	wohl	ADV	146	0.0002962385816259034
254	Berlin	NE	146	0.0002962385816259034
255	du	PPER	145	0.0002942095502449041
256	Fc	NN	144	0.00029218051886390476
257	Bereich	NN	143	0.00029015148748290544
258	trump	XY	143	0.00029015148748290544
259	gehen	VVINF	143	0.00029015148748290544
260	Spd	NE	143	0.00029015148748290544
261	Partei	NN	142	0.00028812245610190606
262	Minute	NN	142	0.00028812245610190606
263	teil	PTKVZ	142	0.00028812245610190606
264	gehören	VVFIN	142	0.00028812245610190606
265	fragen	VVFIN	141	0.00028609342472090673
266	Projekt	NN	141	0.00028609342472090673
267	Sonntag	NN	140	0.0002840643933399074
268	Österreich	NE	140	0.0002840643933399074
269	Samstag	NN	140	0.0002840643933399074
270	Saison	NN	139	0.0002820353619589081
271	Person	NN	139	0.0002820353619589081
272	weniger	ADV	139	0.0002820353619589081
273	berichten	VVFIN	139	0.0002820353619589081
274	Usa	NE	138	0.0002800063305779087
275	trotz	APPR	138	0.0002800063305779087
276	setzen	VVFIN	137	0.0002779772991969094
277	'	$(	136	0.00027594826781591005
278	lang	ADJD	135	0.0002739192364349107
279	solche	PIAT	135	0.0002739192364349107
280	pro	APPR	133	0.000269861173672912
281	sprechen	VVFIN	133	0.000269861173672912
282	mögen	VMFIN	133	0.000269861173672912
283	Familie	NN	132	0.0002678321422919127
284	zehn	CARD	131	0.0002658031109109133
285	kurz	ADJD	131	0.0002658031109109133
286	s	NN	131	0.0002658031109109133
287	außerdem	ADV	131	0.0002658031109109133
288	derzeit	ADV	131	0.0002658031109109133
289	a	FM	130	0.000263774079529914
290	spielen	VVINF	129	0.0002617450481489147
291	betonen	VVFIN	129	0.0002617450481489147
292	bekannt	ADJD	129	0.0002617450481489147
293	Oktober	NN	128	0.00025971601676791535
294	nehmen	VVFIN	128	0.00025971601676791535
295	finden	VVINF	128	0.00025971601676791535
296	stark	ADJD	128	0.00025971601676791535
297	weg	PTKVZ	127	0.00025768698538691597
298	kommend	ADJA	127	0.00025768698538691597
299	zudem	ADV	127	0.00025768698538691597
300	Frau	NN	127	0.00025768698538691597
301	die	PRELS	126	0.00025565795400591665
302	halten	VVFIN	125	0.0002536289226249173
303	klar	ADJD	124	0.000251599891243918
304	fordern	VVFIN	124	0.000251599891243918
305	handeln	VVFIN	124	0.000251599891243918
306	Geld	NN	123	0.0002495708598629186
307	verschieden	ADJA	123	0.0002495708598629186
308	schreiben	VVFIN	123	0.0002495708598629186
309	Meter	NN	123	0.0002495708598629186
310	eigentlich	ADV	122	0.0002475418284819193
311	Ort	NN	122	0.0002475418284819193
312	Israel	NE	122	0.0002475418284819193
313	bisher	ADV	122	0.0002475418284819193
314	Montag	NN	122	0.0002475418284819193
315	hinter	APPR	121	0.00024551279710091997
316	Afd	NE	121	0.00024551279710091997
317	Tor	NN	120	0.00024348376571992062
318	aktuell	ADJA	120	0.00024348376571992062
319	kaum	ADV	119	0.0002414547343389213
320	fahren	VVFIN	119	0.0002414547343389213
321	stimmen	VVFIN	118	0.00023942570295792194
322	Europa	NE	118	0.00023942570295792194
323	Gespräch	NN	118	0.00023942570295792194
324	Wahl	NN	118	0.00023942570295792194
325	bringen	VVFIN	117	0.00023739667157692261
326	Möglichkeit	NN	117	0.00023739667157692261
327	Dienstag	NN	116	0.00023536764019592326
328	früh	ADJA	116	0.00023536764019592326
329	Mann	NN	116	0.00023536764019592326
330	Beispiel	NN	115	0.00023333860881492394
331	nachdem	KOUS	115	0.00023333860881492394
332	machen	VVPP	115	0.00023333860881492394
333	brauchen	VVFIN	115	0.00023333860881492394
334	sorgen	VVFIN	115	0.00023333860881492394
335	zufolge	APPO	115	0.00023333860881492394
336	anders	ADV	114	0.0002313095774339246
337	Richtung	NN	113	0.00022928054605292526
338	hoch	ADJD	112	0.0002272515146719259
339	neu	ADJD	111	0.00022522248329092659
340	wenig	PIAT	111	0.00022522248329092659
341	deshalb	PROAV	111	0.00022522248329092659
342	gemeinsam	ADJD	111	0.00022522248329092659
343	politisch	ADJA	110	0.00022319345190992723
344	aufgrund	APPR	110	0.00022319345190992723
345	damals	ADV	110	0.00022319345190992723
346	gar	ADV	110	0.00022319345190992723
347	nie	ADV	110	0.00022319345190992723
348	Gemeinde	NN	110	0.00022319345190992723
349	November	NN	110	0.00022319345190992723
350	stellen	VVINF	109	0.0002211644205289279
351	beginnen	VVFIN	109	0.0002211644205289279
352	bestehen	VVFIN	109	0.0002211644205289279
353	daher	PROAV	109	0.0002211644205289279
354	groß	ADJD	109	0.0002211644205289279
355	Zahl	NN	109	0.0002211644205289279
356	Sommer	NN	108	0.00021913538914792856
357	wissen	VVFIN	108	0.00021913538914792856
358	Mannschaft	NN	108	0.00021913538914792856
359	Anfang	NN	108	0.00021913538914792856
360	Mittwoch	NN	108	0.00021913538914792856
361	Region	NN	108	0.00021913538914792856
362	ganz	ADJA	107	0.00021710635776692923
363	Arbeit	NN	107	0.00021710635776692923
364	welche	PRELS	107	0.00021710635776692923
365	Spieler	NN	106	0.00021507732638592988
366	natürlich	ADV	106	0.00021507732638592988
367	Donnerstag	NN	106	0.00021507732638592988
368	steigen	VVFIN	106	0.00021507732638592988
369	Cdu	NE	105	0.00021304829500493056
370	erneut	ADJD	105	0.00021304829500493056
371	Staat	NN	105	0.00021304829500493056
372	sechs	CARD	105	0.00021304829500493056
373	Sieg	NN	105	0.00021304829500493056
374	aktuell	ADJD	105	0.00021304829500493056
375	Milliarde	NN	105	0.00021304829500493056
376	stark	ADJA	104	0.0002110192636239312
377	zuletzt	ADV	104	0.0002110192636239312
378	bleiben	VVINF	104	0.0002110192636239312
379	arbeiten	VVINF	103	0.00020899023224293188
