	lemma	pos	abs_freq	rel_freq
316	zuletzt	ADV	122	0.0002487389749507619
317	möglich	ADJD	122	0.0002487389749507619
318	früh	ADJA	122	0.0002487389749507619
319	europäisch	ADJA	121	0.00024670013089378846
320	aufgrund	APPR	121	0.00024670013089378846
321	Gemeinde	NN	120	0.000244661286836815
322	natürlich	ADV	120	0.000244661286836815
323	eigentlich	ADV	120	0.000244661286836815
324	November	NN	120	0.000244661286836815
325	zufolge	APPO	120	0.000244661286836815
326	Regierung	NN	119	0.00024262244277984153
327	schwer	ADJD	119	0.00024262244277984153
328	beginnen	VVFIN	117	0.00023854475466589462
329	klar	ADJD	117	0.00023854475466589462
330	verschieden	ADJA	117	0.00023854475466589462
331	aktuell	ADJD	116	0.00023650591060892117
332	politisch	ADJA	116	0.00023650591060892117
333	bleiben	VVINF	116	0.00023650591060892117
334	damals	ADV	116	0.00023650591060892117
335	e	NE	116	0.00023650591060892117
336	ehemalig	ADJA	114	0.00023242822249497426
337	Oktober	NN	114	0.00023242822249497426
338	Wahl	NN	114	0.00023242822249497426
339	wer	PWS	114	0.00023242822249497426
340	März	NE	114	0.00023242822249497426
341	machen	VVPP	113	0.00023038937843800078
342	Frau	NN	112	0.00022835053438102732
343	Dienstag	NN	112	0.00022835053438102732
344	groß	ADJD	112	0.00022835053438102732
345	Beispiel	NN	112	0.00022835053438102732
346	Richtung	NN	112	0.00022835053438102732
347	steigen	VVFIN	112	0.00022835053438102732
348	Fahrzeug	NN	112	0.00022835053438102732
349	geben	VVPP	112	0.00022835053438102732
350	führen	VVFIN	111	0.00022631169032405387
351	Europa	NE	111	0.00022631169032405387
352	mai	NE	111	0.00022631169032405387
353	Grund	NN	111	0.00022631169032405387
354	Montag	NN	111	0.00022631169032405387
355	fordern	VVFIN	111	0.00022631169032405387
356	gegenüber	APPR	111	0.00022631169032405387
357	offenbar	ADJD	111	0.00022631169032405387
358	Gast	NN	110	0.00022427284626708042
359	wenig	PIAT	110	0.00022427284626708042
360	halten	VVFIN	110	0.00022427284626708042
361	daher	PROAV	110	0.00022427284626708042
362	betonen	VVFIN	110	0.00022427284626708042
363	Mann	NN	110	0.00022427284626708042
364	Meter	NN	110	0.00022427284626708042
365	Mitglied	NN	108	0.0002201951581531335
366	Zukunft	NN	108	0.0002201951581531335
367	darüber	PROAV	108	0.0002201951581531335
368	genau	ADJD	108	0.0002201951581531335
369	lang	ADJA	107	0.00021815631409616005
370	Arbeit	NN	107	0.00021815631409616005
371	zunächst	ADV	106	0.00021611747003918657
372	Staat	NN	106	0.00021611747003918657
373	solche	PIAT	106	0.00021611747003918657
374	lang	ADJD	106	0.00021611747003918657
375	hinter	APPR	105	0.00021407862598221312
376	hoch	ADJD	105	0.00021407862598221312
377	danach	PROAV	105	0.00021407862598221312
378	stellen	VVINF	104	0.00021203978192523967
379	Sieg	NN	103	0.0002100009378682662
380	Programm	NN	103	0.0002100009378682662
381	fest	PTKVZ	102	0.00020796209381129276
382	neu	ADJD	102	0.00020796209381129276
383	erneut	ADJD	102	0.00020796209381129276
384	Gruppe	NN	102	0.00020796209381129276
385	Juli	NN	102	0.00020796209381129276
386	wenige	PIAT	102	0.00020796209381129276
387	zahlreich	ADJA	102	0.00020796209381129276
388	Juni	NN	101	0.0002059232497543193
389	September	NN	101	0.0002059232497543193
390	Mitarbeiter	NN	101	0.0002059232497543193
391	knapp	ADJD	101	0.0002059232497543193
392	gleich	ADJD	101	0.0002059232497543193
393	paar	PIAT	101	0.0002059232497543193
394	bestehen	VVFIN	100	0.00020388440569734582
395	fallen	VVFIN	100	0.00020388440569734582
396	Cdu	NE	100	0.00020388440569734582
397	verletzen	VVPP	100	0.00020388440569734582
398	arbeiten	VVINF	99	0.00020184556164037237
399	tagen	VVFIN	99	0.00020184556164037237
400	München	NE	98	0.00019980671758339892
401	Dezember	NN	98	0.00019980671758339892
402	April	NN	98	0.00019980671758339892
403	scheinen	VVFIN	97	0.00019776787352642546
404	'	$(	97	0.00019776787352642546
405	Maßnahme	NN	97	0.00019776787352642546
406	wissen	VVFIN	97	0.00019776787352642546
407	tagen	VVINF	97	0.00019776787352642546
408	nachdem	KOUS	97	0.00019776787352642546
409	meiste	PIAT	97	0.00019776787352642546
410	weiterhin	ADV	97	0.00019776787352642546
411	Sommer	NN	96	0.000195729029469452
412	Wochenende	NN	96	0.000195729029469452
413	trotzdem	PROAV	96	0.000195729029469452
414	leicht	ADJD	96	0.000195729029469452
415	befinden	VVFIN	96	0.000195729029469452
416	erhalten	VVINF	95	0.00019369018541247855
417	Mannschaft	NN	95	0.00019369018541247855
418	wichtig	ADJD	95	0.00019369018541247855
419	fehlen	VVFIN	95	0.00019369018541247855
420	gemeinsam	ADJD	95	0.00019369018541247855
421	Situation	NN	95	0.00019369018541247855
422	weit	ADJD	95	0.00019369018541247855
423	demnach	PROAV	95	0.00019369018541247855
424	nacht	PTKVZ	95	0.00019369018541247855
425	rollen	VVFIN	94	0.00019165134135550507
426	glauben	VVFIN	93	0.00018961249729853162
427	sicher	ADJD	93	0.00018961249729853162
428	sitzen	VVFIN	92	0.00018757365324155816
429	kaum	ADV	92	0.00018757365324155816
430	handeln	VVFIN	92	0.00018757365324155816
431	schreiben	VVFIN	91	0.0001855348091845847
432	Möglichkeit	NN	91	0.0001855348091845847
433	nie	ADV	91	0.0001855348091845847
434	Fußball	NN	91	0.0001855348091845847
435	anders	ADV	91	0.0001855348091845847
